county,EducationGap,EducationRatio,PovertyUnemploymentRatio,PopulationDensityProxy,EconomicPressure,IsNCA
Arkansas,0.0568763637088367,0.697210818780222,5.682656826568266,9.699411063939143,9.05,0
Ashley,0.21852206264374113,0.22589368326410292,3.2798573975044563,9.812632434192041,12.0,0
Baxter,0.03708481646647231,0.48152139199531707,4.43213296398892,10.66606750781141,9.8,1
Benton,-0.0027242223283271104,0.6179931443347039,3.2365145228215773,12.647593206225348,5.1,0
Boone,0.05017643916428757,0.412958176513626,4.790996784565917,10.559218391085642,9.0,0
Bradley,0.2908299558590657,0.3415581314887583,5.032537960954447,9.22078562983772,13.899999999999999,0
Calhoun,0.5275407450980392,0.4205213236512562,4.914089347079039,8.442900586834382,8.6,0
Carroll,0.047461184701881015,0.5605308612479892,5.085910652920963,10.268651363870767,8.85,0
Chicot,0.2384794084713776,0.42093516834713623,5.111876075731498,9.163143937145207,17.75,0
Clark,0.03391461671523928,0.7317964249886463,4.012738853503184,9.965287953441575,11.799999999999999,0
Clay,0.2036129565523555,0.33991578506647985,4.257907542579076,9.561138078742038,10.8,0
Cleburne,0.0832111371192769,0.4351259970184752,3.452685421994885,10.144313838702645,8.7,1
Cleveland,0.38645886473298996,0.3571075038108105,4.472934472934473,8.906393407058367,9.6,0
Columbia,0.09124856695259595,0.47611901597828316,5.406032482598609,10.00563792118106,13.8,0
Conway,0.12000412876595343,0.3986607270808666,4.488188976377954,9.955985121493882,10.450000000000001,0
Craighead,0.0040307457124560235,0.6345106084936047,5.940959409594097,11.643901094412595,9.4,0
Crawford,0.02746331088526603,0.4542963728836293,3.9002932551319653,11.033146209609564,8.35,0
Crittenden,0.04363642892297248,0.4047934353670112,4.89311163895487,10.760877176490123,12.4,0
Cross,0.16638926266747867,0.33870120275200766,5.6011730205278605,9.706316282491837,11.25,0
Dallas,0.6022187172190783,0.2272076940279446,5.012787723785167,8.730043953245016,11.75,0
Desha,0.2677301696726787,0.30933470264767843,5.42299349240781,9.257223957875032,14.8,0
Drew,0.08899518087931543,0.5817425906626146,4.89311163895487,9.73778709675841,12.4,0
Faulkner,-0.002152107940685339,0.7649883443953691,4.43298969072165,11.774920430486024,7.9,0
Franklin,0.16417965491183878,0.30195590827240815,5.919003115264798,9.76818316050523,11.1,0
Fulton,0.2021709764914258,0.37364899120857226,4.593175853018373,9.427224373119248,10.65,1
Garland,0.004662860979716188,0.6420739934815709,5.094339622641509,11.510773150402086,11.299999999999999,0
Grant,0.11334537752271118,0.48000257463913426,3.814432989690722,9.819236000088537,7.0,0
Greene,0.05584536822625848,0.3488468787263938,4.894259818731118,10.752441184234273,9.75,0
Hempstead,0.12871818844026262,0.3523138936287242,4.868035190615837,9.870137572854574,10.0,0
Hot Spring,0.07587170346984183,0.3559569849540775,4.814814814814815,10.412080686149404,10.2,0
